Word,Substitute,Frequency,Length
ಒಳ್ಳೆಯವನಾಗಿದ್ದೂಜಾಗರೂಕನಾಗಿರುವುದರಿಂದ,ಒಳ್ಳೆಯವನಾಗಿದ್ದೂ ಜಾಗರೂಕನಾಗಿರುವುದರಿಂದ,1,34
ನನ್ನನ್ನುರುಚಿಕರವಾಗಿಸುತ್ತವೆಪ್ರೊಟೀನ್‌,ನನ್ನನ್ನು ರುಚಿಕರವಾಗಿಸುತ್ತವೆ ಪ್ರೊಟೀನ್‌,1,34
ತೂರಿಕೊಂಡುಹೋಗಿಬಿಡುತ್ತಿದ್ದನುಮಕ್ಕಳಿಗೆ,ತೂರಿಕೊಂಡು ಹೋಗಿ ಬಿಡುತ್ತಿದ್ದನು ಮಕ್ಕಳಿಗೆ,1,34
ಆಆಆಆಆಆಕ್ಷೀಕ್ಷೀಕ್ಷೀಕ್ಷೀಕ್ಷೀಕ್ಷ್ಣಣಣ,Delete,1,33
ನನ್ನನ್ನುಬಲಶಾಲಿಯಾಗಿಸುತ್ತವೆವಿಟಮಿನ್‌,ನನ್ನನ್ನು ಬಲಶಾಲಿಯಾಗಿಸುತ್ತವೆ ವಿಟಮಿನ್‌,1,33
ರೋಗಗಳನ್ನುದೂರವಿಡುತ್ತದೆಸಲಹೆಆರೋಗ್ಯಕರ,ರೋಗಗಳನ್ನು ದೂರವಿಡುತ್ತದೆ ಸಲಹೆ ಆರೋಗ್ಯಕರ,1,33
ಕರಳುಬೆರಳುಕಿರುಬೆರಳುಹೆಚ್ಚೆರಳುಕೈಗಳು,ಕರಳು ಬೆರಳು ಕಿರುಬೆರಳು ಹೆಚ್ಚೆರಳು ಕೈಗಳು ,1,32
ದೂರಕ್ಕೆಚಿಮ್ಮಿಸುತ್ತವೆಅಬ್ಬಬ್ಬಾನೀವು,ದೂರಕ್ಕೆ ಚಿಮ್ಮಿಸುತ್ತವೆ ಅಬ್ಬಬ್ಬಾ ನೀವು,1,32
ಜಾರಿದರೆಬಟನುಗಳುಉರುಳುರುಳುಬಚ್ಚಲಲ್ಲಿ,ಜಾರಿದರೆ ಬಟನುಗಳು ಉರುಳುವುದು ಬಚ್ಚಲಲ್ಲಿ,1,32
ಮೂಗನ್ನುತಲುಪುತ್ತದೆಶೀತವಿದ್ದವರೊಡನೆ,ಮೂಗನ್ನು ತಲುಪುತ್ತದೆ ಶೀತವಿದ್ದವರೊಡನೆ,1,31
ಘರ್ಜನೆನಿಲ್ಲಿಸಿಬಿಟ್ಟಿತುಇಷ್ಟಾದರೂ,ಘರ್ಜನೆ ನಿಲ್ಲಿಸಿ ಬಿಟ್ಟಿತು ಇಷ್ಟಾದರೂ,1,30
ಅಷ್ಟೊಂದುಆತ್ಮವಿಶ್ವಾಸವಿರಲಿಲ್ಲಎಳೇ,ಅಷ್ಟೊಂದು ಆತ್ಮವಿಶ್ವಾಸವಿರಲಿಲ್ಲ ಎಳೇ,1,30
ದಂಡೆಯಲ್ಲಿಓಡಾಡುತ್ತಿರುತ್ತದೆಮತ್ತೆ,ದಂಡೆಯಲ್ಲಿ ಓಡಾಡುತ್ತಿರುತ್ತದೆ ಮತ್ತೆ,1,30
ಬಟ್ಟೆಗಳನ್ನುಹಂಚಿಕೊಳ್ಳಬೇಡಿಹೆಚ್ಚು,ಬಟ್ಟೆಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳಬೇಡಿ ಹೆಚ್ಚು,1,30
ಸರಿಯಲ್ಲಬಚ್ಚಿಟ್ಟುಕೊಳ್ಳುವುದರಲ್ಲಿ,ಸರಿಯಲ್ಲ ಬಚ್ಚಿಟ್ಟು ಕೊಳ್ಳುವುದರಲ್ಲಿ,1,30
ನಡೆಸಿಕೊಳ್ಳಲಾಗುತ್ತದೆಸ್ವಾತಂತ್ರ್ಯ,ನಡೆಸಿ ಕೊಳ್ಳಲಾಗುತ್ತದೆ ಸ್ವಾತಂತ್ರ್ಯ,1,30
ಹಾರಾಡುತ್ತಿರುವಗಾಳಿಪಟಎಷ್ಟೊಂದಿದೆ,ಹಾರಾಡುತ್ತಿರುವ ಗಾಳಿಪಟ ಎಷ್ಟೊಂದಿದೆ,1,29
ಎತ್ತಿಕೊಳ್ಳಲುಬಗ್ಗುತ್ತಿದ್ದಂತೆಯೇ,ಎತ್ತಿಕೊಳ್ಳಲು ಬಗ್ಗುತ್ತಿದ್ದಂತೆಯೇ,1,29
ತೀಕ್ಷ್ಣವಾಗುತ್ತಿದ್ದವುಶ್ರೀಂಗೇರಿ,ತೀಕ್ಷ್ಣವಾಗುತ್ತಿದ್ದವು ಶ್ರೀಂಗೇರಿ,1,29
ಹುಬ್ಬುಗಂಟಾಗುತ್ತಿತ್ತುಹೀಗಿರುವಾಗ,ಹುಬ್ಬು ಗಂಟಾಗುತ್ತಿತ್ತು ಹೀಗಿರುವಾಗ,1,29
ಹುಳಿಸಿಹಿಪಾನಿಪುರಿಕಣ್ಣಾಮುಚ್ಚಾಲೆ,ಹುಳಿ ಸಿಹಿ ಪಾನಿಪುರಿ ಕಣ್ಣಾ ಮುಚ್ಚಾಲೆ,1,29
ಕತ್ತರಿಸಿಕೊಂಡಿದ್ದಳುಅಟ್ಲಾಂಟಿಕ್‌,ಕತ್ತರಿಸಿ ಕೊಂಡಿದ್ದಳು ಅಟ್ಲಾಂಟಿಕ್‌,1,29
ಸ್ವಚ್ಚವಾಗಿಟ್ಟುಕೊಳ್ಳುತ್ತಿದ್ದರು,ಸ್ವಚ್ಚವಾಗಿಟ್ಟು ಕೊಳ್ಳುತ್ತಿದ್ದರು,1,29
ಕಿರಣಗಳನ್ನಾಗಿಸಿಕೊಳ್ಳಬೇಕೆಂಬುದು,ಕಿರಣಗಳನ್ನಾಗಿಸಿಕೊಳ್ಳಬೇಕೆಂಬುದು,1,28
ಹೆಜ್ಜೆಇಡುತ್ತಿರುವಂತೆಯೇಅಂಬಾರಿಯ,ಹೆಜ್ಜೆ ಇಡುತ್ತಿರುವಂತೆಯೇ ಅಂಬಾರಿಯ,1,28
ಅಜ್ಜಿಯೇಆಗಿದ್ದಳುರುಮ್ನಿಯಾಳನ್ನು,ಅಜ್ಜಿಯೇ ಆಗಿದ್ದಳು ರುಮ್ನಿಯಾಳನ್ನು,1,28
ಕೆರೆಯುತ್ತಿದ್ದಳುಎಡಬಿಡದೆಹೊಟ್ಟೆ,ಕೆರೆಯುತ್ತಿದ್ದಳು ಎಡಬಿಡದೆ ಹೊಟ್ಟೆ,1,28
ಗೂಜೆಚಿಂರ್‌ರ್‌ರ್‌ರ್‌ರ್‌ರ್‌ರ್‌,Delete,1,28
ಆಆಆಕ್ಷೀಕ್ಷೀಕ್ಷೀಕ್ಷೀಕ್ಷೀಕ್‌ತಈ,Delete,1,28
ಚಿತ್ರಮೂಡಿಸುತ್ತಿದ್ದಳುನಿಶ್ಯಬ್ದ,ಚಿತ್ರ ಮೂಡಿಸುತ್ತಿದ್ದಳು ನಿಶ್ಯಬ್ದ,1,28
ಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳನ್ನುಅತಿಯಾಗಿ,ಕಾರ್ಬೋಹೈಡ್ರೇಟ್‌ಗಳನ್ನು ಅತಿಯಾಗಿ,1,28
ಆರೋಗ್ಯಪೂರ್ಣವಾಗಿರುತ್ತದೆಸ್ಥಳೀಯ,ಆರೋಗ್ಯ ಪೂರ್ಣವಾಗಿರುತ್ತದೆ ಸ್ಥಳೀಯ,1,28
ಉತ್ತಮವಾಗಿಟ್ಟುಕೊಳ್ಳಬೇಕಾಗಿತ್ತು,ಉತ್ತಮವಾಗಿಟ್ಟು ಕೊಳ್ಳಬೇಕಾಗಿತ್ತು,1,28
ಕುಸಿದವುಟಂಗ್‌ಧಡೂಂಟಾಂಗ್‌ಮಲರ್‌,ಕುಸಿದ,1,27
ಚೇರೆಹೋಟೆಲುಗಳಿಗೆಹೋಗುತ್ತದೆಸದಾ, ಬೇರೆ ಹೋಟೆಲುಗಳಿಗೆ ಹೋಗುತ್ತದೆ ಸದಾ,1,27
ಕುಟುಂಬನೋಡಿಕೊಳ್ಳುತ್ತದೆಮುಂಬಯಿ,ಕುಟುಂಬ ನೋಡಿಕೊಳ್ಳುತ್ತದೆ ಮುಂಬಯಿ,1,27
ಅಟ್ಟಿಸಿಕೊಂಡುಹೋಗುತ್ತಿವೆಟಿಂಗು,ಅಟ್ಟಿಸಿಕೊಂಡು ಹೋಗುತ್ತಿವೆ ಟಿಂಗು,1,27
ತಯಾರಿಸಿದ್ದೇವೆನಮ್ಮಲ್ಲಿಕೆಲವರು,ತಯಾರಿಸಿದ್ದೇವೆ ನಮ್ಮಲ್ಲಿ ಕೆಲವರು,1,27
ಬಣ್ಣವನ್ನುತುಂಬುತ್ತಿದ್ದಳುಧಪ್‌,ಬಣ್ಣವನ್ನು ತುಂಬುತ್ತಿದ್ದಳು ಧಪ್‌,1,27
ಭಾಗದುರ್ಬಲವಾಗಬಹುದುನೋವಾಗಬಹುದು,ಭಾಗ ದುರ್ಬಲವಾಗಬಹುದು ನೋವಾಗಬಹುದು,1,27
ಅವರುಒಪ್ಪಲೇಬೇಕಾಯಿತುಪೈಲ್ವಾನನು,ಅವರು ಒಪ್ಪಲೇ ಬೇಕಾಯಿತು ಪೈಲ್ವಾನನ್ನು,1,27
ಬೂಮ್‌ಬೂಮ್‌ಬೂಮ್‌ವ್ಹಾಆಆಆರ್ನ್‌,Delete,1,27
ಬೂಮ್‌ಬೂಮ್‌ಬೂಮ್‌ವ್ಲಾಆಆಆರ್ನ್‌,Delete,1,27
ಚುರುಕಾಗಿಟ್ಟುಕೊಳ್ಳಬೇಕಾಗಿತ್ತು,ಚುರುಕಾಗಿಟ್ಟು ಕೊಳ್ಳಬೇಕಾಗಿತ್ತು,1,27
ಕೂಡಿಡುತ್ತಿದ್ದೀರಿದೊಡ್ಡವರಲ್ಲೂ,ಕೂಡಿಡುತ್ತಿದ್ದೀರಿ ದೊಡ್ಡವರಲ್ಲೂ,1,27
ಚುಚ್ಚಿಸಿಕೊಳ್ಳಬೇಕಾಗುತ್ತಿತ್ತು,ಚುಚ್ಚಿಸಿ ಕೊಳ್ಳ ಬೇಕಾಗುತ್ತಿತ್ತು,1,27
ರೂಪಾಂತರಗೊಳ್ಳುತ್ತದೆಸುದಿಪ್ತಾಳ,ರೂಪಾಂತರಗೊಳ್ಳುತ್ತದೆ ಸುದಿಪ್ತಾಳ,1,27
ಶ್ರದ್ಧೆಯನ್ನಿಟ್ಟುಕೊಂಡಿದ್ದರು,ಶ್ರದ್ಧೆಯನ್ನಿಟ್ಟುಕೊಂಡಿದ್ದರು,1,26
ಸುತ್ತಲೂಂವಾಸವಾಗಿರುತ್ತಿದ್ದವು,ಸುತ್ತಲೂ ವಾಸವಾಗಿರುತ್ತಿದ್ದವು,1,26
ನಿರ್ದಾಕ್ಷಿಣ್ಯವಾಗಿರುತ್ತಿದ್ದ,ನಿರ್ದಾಕ್ಷಿಣ್ಯವಾಗಿರುತ್ತಿದ್ದ,2,26
ಐದನ್ನಮ್ಯಾಂಹ್‌ಮ್ಯಾಮ್ಯಾಎಲ್ಲಿ, ಎಲ್ಲಿ,1,26
ಬಲಗಡೆಯಾರಲ್ಲಿಟ್ಹಯಾರದುಸುಂಯ್‌,ಬಲಗಡೆಯಾರಲ್ಲಿ  ಯಾರದು ಸುಂಯ್‌,1,26
ರೈಲಿನಬೋಗಿಯೊಳಗೆಕಾಲಿಟ್ಟಿತ್ತು,ರೈಲಿನ ಬೋಗಿಯೊಳಗೆ ಕಾಲಿಟ್ಟಿತ್ತು,1,26
ರಜಿಸಿದ್ದಾರೆಛಾಯಾಚಿತ್ರಗಳನ್ನು,ರಚಿಸಿದ್ದಾರೆ ಛಾಯಾಚಿತ್ರಗಳನ್ನು,1,26
ತುದಿಗಾಲಲ್ಲಿನಿಂತಿರುವಳುಸೊರ್‌,ತುದಿಗಾಲಲ್ಲಿನಿಂತಿರುವಳು ಸೊರ್‌,1,26
ಫಳಫಳಹೊಳೆಯುತ್ತಿರುತ್ತವೆನಿಮ್ಮ,ಫಳಫಳ ಹೊಳೆಯುತ್ತಿರುತ್ತವೆ ನಿಮ್ಮ,1,26
ಮೊಟ್ಟೆಇಡುತ್ತವೆಬೆಳ್ಳಕ್ಕಿಗಳು,ಮೊಟ್ಟೆ ಇಡುತ್ತವೆ ಬೆಳ್ಳಕ್ಕಿಗಳು,1,26
ಬಿತ್ತರಿಸುತ್ತಿದ್ದಿರಬೇಕಿತ್ತು,ಬಿತ್ತರಿಸುತ್ತಿದ್ದಿರ ಬೇಕಿತ್ತು,1,26
ಅಲಕ್ಷಿಸುತ್ತಿದ್ದರುಗಾಂಧೀಜಿಗೆ,ಅಲಕ್ಷಿಸುತ್ತಿದ್ದರು ಗಾಂಧೀಜಿಗೆ,1,26
ನಿರ್ಮಿಸಿಕೊಂಡಿರುತ್ತವೆಇದೆಲ್ಲ,ನಿರ್ಮಿಸಿಕೊಂಡಿರುತ್ತವೆ ಇದೆಲ್ಲ,1,26
ಕುಸಿಯುತ್ತಿತ್ತುಗಲಿಬಿಲಿಗೊಂಡು,ಕುಸಿಯುತ್ತಿತ್ತು ಗಲಿಬಿಲಿಗೊಂಡು,1,26
ಯಾಲಿಗಳಿಗೌತಣವನಿಕ್ಕುವೆನೊರಸಿ,ಯಾಲಿಗಳಿಗೌತಣವನಿಕ್ಕುವೆನೊರಸಿ,1,25
ಮಾಡಿದ್ದರೆಇಂಗ್ಲೆಂಡಿನಲ್ಲಿಯೇ,ಮಾಡಿದ್ದರೆ ಇಂಗ್ಲೆಂಡಿನಲ್ಲಿಯೇ,1,25
ತಜ್ಞರೊಬ್ಬರುವಿಜ್ಞಾನಿಯೊಬ್ಬರ,ತಜ್ಞರೊಬ್ಬರು ವಿಜ್ಞಾನಿಯೊಬ್ಬರ,1,25
ತೂಗಾಡುತ್ತಿದ್ದಿಹಕ್ಕಿಯುನ್ನು,ತೂಗಾಡುತ್ತಿದ್ದಿ ಹಕ್ಕಿಯುನ್ನು,1,25
ಉಪಕಾರವನ್ನ್ಯುನೆನೆಕಹ್ಳುವವನು,ಉಪಕಾರವ ನೆನಪಿಸಿಕೊಳ್ಳುವವನು,1,25
ತಿಗಣೆಗಳುಹೆಜ್ಜೇನುಗಳುಹೊಳಪಿನ,ತಿಗಣೆಗಳು ಹೆಜ್ಜೇನುಗಳು ಹೊಳಪಿನ,1,25
ತಿನ್ನುವವುಚೀಕುನೂನಾಯಿಮರಿಗಳು,ತಿನ್ನುವವು ಚೀಕುನೂ ನಾಯಿಮರಿಗಳು,1,25
ಮರಗಳೆಡೆಯಿಂದಬರುತ್ತಿದೆಯಾಇದು,ಮರಗಳೆಡೆಯಿಂದ ಬರುತ್ತಿದೆಯಾ ಇದು,1,25
ಹೆಮ್ಮೆಯಿಂದಆಸೀನನಾಗಿದ್ದನಾನು,ಹೆಮ್ಮೆಯಿಂದ ಆಸೀನನಾಗಿದ್ದನಾನು,1,25
ರಾಜನನ್ನುಅನುಕರಣೆಮಾಡುತ್ತೀರಾ,ರಾಜನನ್ನು ಅನುಕರಣೆ ಮಾಡುತ್ತೀರಾ,1,25
ಪಾರ್ವತಮ್ಮಕೇಳಿದಳುಶ್ರೀಂಗೇರಿ,ಪಾರ್ವ ತಮ್ಮ ಕೇಳಿದಳು ಶ್ರೀಂಗೇರಿ,1,25
ಹಾಕಿಬಿಡಿಹುರಿಯಿರಿಕಲಕಿರಿಅದು,ಹಾಕಿಬಿಡಿ ಹುರಿಯಿರಿ ಕಲಕಿರಿ ಅದು,1,25
ಆಡಿಕೊಂಡುಆರಾಮವಾಗಿದೆಚಳಿಗಾಲದ,ಆಡಿಕೊಂಡು ಆರಾಮಾಗಿದೆ ಚಳಿಗಾಲದ,1,25
ಬೆಚ್ಚಗೆಮಲಗುತ್ತದೆಪೆರಿಯಪ್ಪನ,ಬೆಚ್ಚಗೆ ಮಲಗುತ್ತದೆ ಪೆರಿಯಪ್ಪನ,1,25
ತೆಂಡೂಲ್ಕರ್‌ಹುಡುಗನಾಗಿದ್ದಾಗ,ತೆಂಡೂಲ್ಕರ್‌ ಹುಡುಗನಾಗಿದ್ದಾಗ,1,25
ಅಂತಕಿರುಚಿದಳುಸಿಕ್ಕಿತ್ತೊಂದು,ಅಂತ ಕಿರುಚಿದಳು ಸಿಕ್ಕಿತ್ತೊಂದು,1,25
ಮೇಲೆಲ್ಲಕಣ್ಣಾಡಿಸಿದವುಒಡನೆಯೇ,ಮೇಲೆಲ್ಲ ಕಣ್ಣಾಡಿಸಿದವು ಒಡನೆಯೇ,1,25
ಪಕ್ಷಿಗಳತ್ತಕೂಗುಹಾಕಿದವುಗೌರಿ,ಪಕ್ಷಿಗಳತ್ತ ಕೂಗುಹಾಕಿದವು ಗೌರಿ,1,25
ಕೂದಲಲ್ಲಿಅವಿತಿತ್ತುಪ್ರತಿದಿನ,ಕೂದಲಲ್ಲಿ ಅವಿತಿತ್ತು ಪ್ರತಿದಿನ,1,25
ಕಿಲಕಿಲನೆನಗತೊಡಗಿದರುವಾಸಿಮ್‌,ಕಿಲಕಿಲನೆ ನಗತೊಡಗಿದರು ವಾಸಿಮ್‌,1,25
ಚಿತ್ರಗಳನ್ನುಮೂಡಿಸಬಾರದುನಾನು,ಚಿತ್ರಗಳನ್ನು ಮೂಡಿಸಬಾರದು ನಾನು,1,25
ಒಸಡುಗಳಿಗೆವ್ಯಾಯಾಮವಾಗುತ್ತದೆ,ಒಸಡುಗಳಿಗೆ ವ್ಯಾಯಾಮವಾಗುತ್ತದೆ,1,25
ಹಾಡುತ್ತಿರುವುದುಅಸ್ಪಷ್ಟವಾಗಿ,ಹಾಡುತ್ತಿರುವುದು ಅಸ್ಪಷ್ಟವಾಗಿ,1,25
ಎತ್ತರದದೊಡ್ಡಕೊನೆಯೇಕಾಣದನಗರದ,ಎತ್ತರದ ದೊಡ್ಡಕೊನೆಯೇ ಕಾಣದ ನಗರದ,1,25
ಆಹ್ಹಾಆಹ್ಹಾಆಹ್ಹಾಆಹ್ಹಾಆಹ್ಹಾ,Delete,1,25
ನೆನಪಿನಲ್ಲಿಟ್ಟುಕೊಳ್ಳುತ್ತವೆ,ನೆನಪಿನಲ್ಲಿಟ್ಟುಕೊಳ್ಳುತ್ತವೆ,1,25
ಪ್ರಾರ್ಥಿಸತೊಡಗಿದಳುಮರೆಯಲ್ಲಿ,ಪ್ರಾರ್ಥಿಸತೊಡಗಿದಳು ಮರೆಯಲ್ಲಿ,1,25
ಜನ್ಮದಿನವಾಗಿತ್ತುಆಚರಣೆಯಲ್ಲಿ,ಜನ್ಮದಿನವಾಗಿತ್ತು ಆಚರಣೆಯಲ್ಲಿ,1,25
ಕುಳಿತುಕೊಳ್ಳುತ್ತಿದ್ದಮೊಘಲ್‌,ಕುಳಿತುಕೊಳ್ಳುತ್ತಿದ್ದ ಮೊಘಲ್‌,1,25
ಕಾಣುತ್ತಿದ್ದವುಕೊಂಬುಕೊಕ್ಕಿನ,ಕಾಣುತ್ತಿದ್ದವು ಕೊಂಬು ಕೊಕ್ಕಿನ,1,25
ಬದಲಾಯಿಸಿಕೊಳ್ಳುತ್ತಿರುತ್ತವೆ,ಬದಲಾಯಿಸಿ ಕೊಳ್ಳುತ್ತಿರುತ್ತವೆ,1,25
ಫಲವತ್ತತೆಗೊಳಿಸಿಕೊಳ್ಳುತ್ತಲೇ,ಫಲವತ್ತತೆ ಗೊಳಿಸಿಕೊಳ್ಳುತ್ತಲೇ,1,25
ಕುಂಟೆಚಿಲ್ಲೌಸಿಡಡತೊಡಗಿದರು,ಕುಂಟೆ ಚೀಲ್ಲೌಸಿಡಲು ತೊಡಗಿದರುತೊಡಗಿದರು,1,23
ಕರೆದುಕೊಂಡುಹೋಗುತ್ತೆಕೆಲವರು,ಕರೆದುಕೊಂಡು ಹೋಗುತ್ತೆ ಕೆಲವರು,1,24
ನೀನೂರೆಡಿನಾತಯಾರಾಹೊರಡುನಾನು,ನೀನೂ ರೆಡಿನಾ ತಯಾರಾ ಹೊರಡು ನಾನು,1,24
ಕತ್ತೆಮರಿಹಾಡುತ್ತಲಿದೆಅಮ್ಮಾ,ಕತ್ತೆಮರಿ ಹಾಡುತ್ತಲಿದೆ ಅಮ್ಮಾ,1,24
ಪಾರ್ವತಮ್ಮನನ್ನುದುರುಗುಟ್ಟಿ,ಪಾರ್ವತಮ್ಮ ನನ್ನುದುರುಗುಟ್ಟಿ,1,24
ಹೆಡ್ಬೋನ್‌ಬೇಕಾಕಾಮನಬಿಲ್ಲಿನ,ಹೆಡ್ಬೋನ್‌ ಬೇಕಾ ಕಾಮನ ಬಿಲ್ಲಿನ,1,24
ಏನೂಆತಂಕಪಡಲಿಲ್ಲಮತ್ತೊಂದೆಡೆ,ಏನೂ ಆತಂಕ ಪಡಲಿಲ್ಲ ಮತ್ತೊಂದೆಡೆ,1,24
ತುಂಬಿಕೊಂಡುಬೀಗ್ತಾಳೆಕೆನ್ನೆ,ತುಂಬಿ ಕೊಂಡು ಬೀಗ್ತಾಳೆ ಕೆನ್ನೆ,1,24
ತಿನ್ಹುತ್ತಿರುತ್ತಾಳೆಚಾಂಪ್‌,ತಿನ್ನುತ್ತಿರುತ್ತಾಳೆ ಚಾಂಪ್‌,1,24
ವಿಂಗಡಿಸಲಾಗಿದೆಖುತುಮಾನಕ್ಕೆ,ವಿಂಗಡಿಸಲಾಗಿದೆ ಖುತುಮಾನಕ್ಕೆ,1,24
ಕತ್ತರಿಸಲುಪುರುಸೊತ್ತಿಲ್ಲಈಗ,ಕತ್ತರಿಸಲು ಪುರುಸೊತ್ತಿಲ್ಲ ಈಗ,1,24
ರೂಪದಲ್ಲಿರುತ್ತವೆವೃತ್ತಾಕಾರ,ರೂಪದಲ್ಲಿರುತ್ತವೆ ವೃತ್ತಾಕಾರ,1,24
ಸೆಳೆದುಕೊಳ್ಳುವುದಿಲ್ಲಕೆಲವು,ಸೆಳೆದು ಕೊಳ್ಳುವುದಿಲ್ಲ ಕೆಲವು,1,24
ಹಾರಾಡುತ್ತಿದ್ದುದನ್ನುಕಂಡಳು,ಹಾರಾಡುತ್ತಿದ್ದುದನ್ನು ಕಂಡಳು,1,24
ಚಿಂರ್‌ರ್‌ರ್‌ರ್‌ರ್‌ರ್‌ರ್‌,Delete,1,24
ಜೋರಾಗಿತ್ತೆಂದರೆಓಡಿಹೋಗಿದ್ದ,ಜೋರಾಗಿತ್ತೆಂದರೆ ಓಡಿ ಹೋಗಿದ್ದ,1,24
ತಿಂದುಬಿಟ್ಟಿದ್ದಕ್ಕೋಫರೀದಾಳ,ತಿಂದು ಬಿಟ್ಟಿದ್ದ ಕ್ಕೋಫರೀದಾಳ,1,24
ಸಿಕ್ಕಿಸಿಕೊಂಡಿದ್ದಸೆರಗನ್ನು,ಸಿಕ್ಕಿಸಿಕೊಂಡಿದ್ದ ಸೆರಗನ್ನು,1,24
ಹಲ್ಲುಗಳಿರುತ್ತವೆಬಾಚಿಹಲ್ಲು,ಹಲ್ಲುಗಳಿರುತ್ತವೆ ಬಾಚಿ ಹಲ್ಲು,1,24
ಸ್ವಚ್ಛವಾಗಿರಿಸುತ್ತದೆವಿವಿಧ,ಸ್ವಚ್ಛವಾಗಿರಿಸುತ್ತದೆ ವಿವಿಧ,1,24
ಹಾಕಿಕೊಳ್ಳುತ್ತಾನೆಪರ್ವೇಜ್‌,ಹಾಕಿಕೊಳ್ಳುತ್ತಾನೆ ಪರ್ವೇಜ್‌,1,24
ಟ್ವಾಂಗ್‌ಟ್ವಾಂಗ್‌ಟೊಂಯ್ಸ್‌,ಟ್ವಾಂಗ್‌ ಟ್ವಾಂಗ್‌ ಟೊಂಯ್ಸ್‌,1,24
ಕತ್ತಲಾಗಿಬಿಟ್ಟಿರುತ್ತಿತ್ತು,ಕತ್ತಲಾಗಿಬಿಟ್ಟಿರುತ್ತಿತ್ತು,1,24
ಚಿಟ್ಟೆಗಳಾಗಿಬಿಟ್ಟಿರುತ್ತವೆ,ಚಿಟ್ಟೆಗಳಾಗಿಬಿಟ್ಟಿರುತ್ತವೆ,1,24
ಹಿಕ್‌ಹಿಕ್‌ಬಿಕ್ಕಳಿಸುತ್ತಲೇ,ಹಿಕ್‌ ಹಿಕ್‌ ಬಿಕ್ಕಳಿಸುತ್ತಲೇ,1,24
ಕೈಗೆತ್ತಿಕೊಳ್ಳುತ್ತಿರಲಿಲ್ಲ,ಕೈಗೆತ್ತಿಕೊಳ್ಳುತ್ತಿರಲಿಲ್ಲ,1,24
ಹೆಸರಿಡಲಾಗಿದೆಪ್ರಜೆಗಳಿಗಾಗಿ,ಹೆಸರಿಡಲಾಗಿದೆ ಪ್ರಜೆಗಳಿಗಾಗಿ,1,24
